time,px,py,pz,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,mx,my,mz
0,0,0,0,1,-0,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.001,0,0,0,0.999999995,9.99999998332708e-05,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.002,0,0,0,0.99999998,0.000199999998666542,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.003,0,0,0,0.999999955,0.000299999995499812,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.004,0,0,0,0.999999920000001,0.000399999989333083,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.005,0,0,0,0.999999875000003,0.000499999979166354,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.006,0,0,0,0.999999820000005,0.000599999963999625,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.007,0,0,0,0.99999975500001,0.000699999942832897,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.008,0,0,0,0.999999680000017,0.000799999914666169,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.009,0,0,0,0.999999595000027,0.000899999878499442,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.01,0,0,0,0.999999500000042,0.000999999833332716,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.011,0,0,0,0.999999395000061,0.00109999977816599,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.012,0,0,0,0.999999280000086,0.00119999971199927,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.013,0,0,0,0.999999155000119,0.00129999963383255,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.014,0,0,0,0.99999902000016,0.00139999954266584,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.015,0,0,0,0.999998875000211,0.00149999943749913,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
0.016,0,0,0,0.999998720000273,0.00159999931733242,-0,-0,0,0,0,0.2,0,0,0,0,0,0,0,0
